	B Cells	Basophils	CD4+ T-cells	CD8+ T-cells	Endothelial cells	Eosinophils	Fibroblasts	Macrophages	Mast cells	Monocytes	NK cells	Neutrophils
S26788	0.0357	0	0.1926	0.03	0	0.4957	0	0.0302	0	0.1053	0.0657	0.1575
S26792	0.0635	0	0.3071	0.034	0.0171	0.5889	0	0	0	0.0365	0.0887	0.1187
S26799	0.1292	0	0.3068	0.0773	0.0194	0.1739	0	0.0198	0.0051	0.1254	0.0557	0.1712
S268	0	0	0.2564	0.0573	0.0623	0.547	0	0.0293	0	0.0366	0.0463	0.1401
S26800	0	0	0.1982	0.0391	0.0472	0.6916	0	0.0566	0.0098	0.0591	0.0216	0.1113
S26809	0.1011	0.0073	0.2129	0.0838	0.0274	0.3351	0	0.0038	0	0.1275	0.0864	0.1546
S26814	0.1065	0	0.3259	0.0329	0.0445	0.3215	0	0.0111	0	0.1044	0.0984	0.1466
S26815	0.0245	0	0.2685	0	0.003	0.4695	0	0.0342	0.0063	0.1213	0.1053	0.1669
S2682	0	0	0.2619	0	0.0547	0.6185	0	0.0225	0	0.0881	0	0.2078
S2685	0.0191	0	0.3123	0.0625	0.0507	0.4045	0	0.0088	0.0188	0.0755	0.1127	0.1532
S2690	0.1741	0.003	0.3085	0.0815	0.032	0.4513	0	0.0746	0.0294	0.1083	0.1327	0.0997
S2696	0.0685	0	0.3042	0.1045	0.0012	0.5315	0	0.0455	0	0.0725	6.00E-04	0.158
S2697	0.038	0	0.3114	0.085	0.0027	0.6011	0	0.0763	0	0.017	0.0336	0.1018
S2700	0.0718	0	0.2927	0.0185	0.0342	0.3436	0	0.0229	0.0186	0.1044	0.1038	0.1768
S2703	0.1244	0	0.2807	0.071	0	0.3669	0	0.0448	0	0.1003	0.107	0.1407
S2704	0.0587	0	0.3396	0.0614	0.0315	0.6821	0	0.0536	0	0.0214	0.0568	0.143
S2705	0	0	0.1803	0.0217	0.0458	0.7131	0	0.0012	0.0098	0.072	0	0.1881
S2707	0.0791	0	0.286	0.0701	0.015	0.4705	0	0.0345	0.0167	0.0858	0.0649	0.1596
S2717	0.0129	0	0.2485	0.022	0.0399	0.5231	0	0.0371	0.0224	0.1488	0	0.1857
S2719	0.0224	0	0.2616	0.0422	0.0449	0.5346	0	0.0447	0.0157	0.1098	0.0487	0.1823
S2737	0.0265	0	0.3129	0.0581	0.0621	0.3782	0	0.0325	6.00E-04	0.0655	0.1265	0.1539
S2743	0.1152	0	0.296	0.036	0.0415	0.2819	0	0.0131	0.0117	0.0681	0.0113	0.1756
S2747	0.1731	0	0.41	0.113	0.016	0.1633	0	0.0096	0.02	0.0816	0.023	0.157
S2755	0.0782	0	0.3104	0.1202	0	0.5504	0	0.0497	0	0.0672	0.0255	0.1334
S2770	0.0629	0	0.2565	0.0475	0	0.3684	0	0.0912	0.0163	0.1535	0.1534	0.153
S2771	0.1175	0	0.3768	0.059	0.0341	0.2341	0	0.0227	0	0.084	0.0275	0.1509
S2776	0.0508	0	0.3162	0.123	0.0099	0.2538	0	0.075	0.0159	0.1249	0.1843	0.1137
S279	0.084	0	0.2743	0.0158	0.0386	0.3562	0	0.0267	0.01	0.093	0.1466	0.1615
S2793	0	0	0.3481	0.0637	0.0074	0.5686	0	0.0512	0.0074	0.0536	0.0905	0.1386
S280	0.0719	0	0.2611	0.0443	0	0.3443	0	0.0296	0.0083	0.1567	0.0271	0.161
S2803	0.1646	0	0.2914	0.0882	0.0105	0.327	0	0.0472	0.0123	0.1349	0.03	0.1819
S2804	0.1267	0	0.3654	0.0946	0.0478	0.4318	0	0.017	0	0.0172	0	0.1784
S2806	0	0.0268	0.2015	0.0176	0.0766	0.6026	0	0.0149	0	0.0565	0	0.1534
S2807	0.06	0	0.3114	0.1289	0.0452	0.3201	0	0.0493	0.0169	0.112	0.2016	0.1389
S2812	0.1101	0	0.2046	3.00E-04	0.0932	0.4969	0	0.0691	0	0.065	0.0463	0.1512
S2814	0.0429	0	0.367	0.1018	0	0.3326	0	0.0412	0	0.0802	0.1158	0.1291
S2816	0	0.0357	0.2604	0.0381	0.0597	0.5183	0	0.0496	0.0147	0.104	0.102	0.1672
S2824	0.044	0	0.2993	0.0337	0.0229	0.4798	0	0.0306	0.0339	0.087	0.1475	0.147
S2826	0.0954	0	0.3601	0.0603	0.0553	0.3346	0	0.0272	0.0243	0.1081	0.0793	0.1636
S2833	0.1475	0.0177	0.3173	0.0254	0.1036	0.2966	0	0.0135	0.0236	0.1027	0.1112	0.1573
S284	0.2023	0	0.2441	0.0303	0.0237	0.2321	0	0.0715	0.0278	0.1653	0.0635	0.1633
S2842	0.1217	0	0.3135	0.0626	0	0.3667	0	0.0447	0.0072	0.1226	0.0495	0.1546
S2843	0.0126	0	0.2311	0.042	0.0161	0.2252	0	0.1123	0.0207	0.2103	0.0796	0.077
S2861	0.067	0.0104	0.334	0.0774	0.0568	0.3422	0	0.0313	0.0182	0.0891	0.0908	0.1694
S2862	0.0301	0	0.3148	0.0584	0	0.4729	0	0.022	0	0.0658	0.1345	0.1347
S2867	0.0653	0	0.3206	0.0756	0.0747	0.3851	0	0.0063	0	0.1051	0.1547	0.163
S2872	0.0403	0	0.3266	0.0285	0	0.4359	0	0.0465	0.0165	0.09	0.0472	0.1632
S288	0.1262	0	0.2683	0.0424	0.0399	0.3365	0	0.0205	0.0017	0.0725	0.0243	0.1889
S2880	0.0794	0	0.3504	0.1203	0	0.625	0	0.0531	0.0097	0.0767	0.0149	0.1532
S2886	0	0	0.1998	0.0296	0.0808	0.636	0	0	0.0253	0.1117	0.0175	0.1713
S2889	0.0626	0	0.3868	0.1289	0	0.3647	0	0.0437	0.0064	0.031	0.0198	0.1362
S289	0.0734	0	0.2881	0.0598	0	0.461	0	0.0459	0.0251	0.1092	0.0845	0.1589
S2891	0.1112	0	0.3529	0.0813	0.0224	0.6164	0	0.0313	0.0055	0.0259	0.1016	0.11
S2907	0.1137	0	0.345	0.0809	0.0632	0.2195	0	0.0276	0.0022	0.1037	0.0409	0.167
S2908	0.0226	0	0.3059	0.0743	0.0641	0.5616	0	0	0	0	0.0799	0.1357
S291	0.0614	0	0.3762	0.0474	0.0379	0.3485	0	0.0289	0.0124	0.1011	0	0.1625
S2917	0.0228	0	0.1818	0	0.0382	0.5824	0	0.0018	0	0.1291	0	0.1804
S2920	0.0526	0.0313	0.1923	0.0028	0.0277	0.504	0	0.0448	0.0159	0.1267	0.1248	0.1548
S2932	0.0681	0	0.3068	0.0683	0.0965	0.4242	0	0.0072	0.0027	0.1078	0.1356	0.1371
S2935	0.0463	0	0.2847	0.0438	0.0317	0.3547	0	0.0455	0.0057	0.1331	0.0405	0.1719
S2936	0.0552	0	0.2939	0.0643	0.0519	0.3355	0	0.0693	0	0.0685	0.0617	0.1701
S2943	0	0	0.2882	0.0487	0.0137	0.7728	0	0.0444	0.0041	0.0128	0.0494	0.1478
S2945	0.0986	0	0.3131	0.1053	0	0.3566	0	0.0455	0.0186	0.1335	0.0425	0.1258
S2947	0	0.1548	0.1645	0.0144	0.0487	0.5635	0	0	0.0035	0.1151	0.056	0.2001
S2954	0.19	0	0.3299	0.1018	0.0555	0.0975	0	0.0247	0.0095	0.1261	0.0798	0.1713
S2956	0	0.0469	0.1971	0.0264	0.0925	0.5518	0	0.0274	0.0051	0.0942	0.1228	0.1472
S2962	0.1252	0	0.2779	0.0546	0.0227	0.2729	0	0.0509	0	0.1339	0.1019	0.1738
S2969	0	0	0.2383	0.0224	0.044	0.702	0	0.0331	0	0.0913	0	0.1856
S2970	0.077	0	0.2569	0.039	0.0592	0.4537	0	0.0048	0	0.1417	0	0.1844
S2974	0.0447	0	0.3115	0.004	0.0284	0.4515	0	0.0311	0.0197	0.125	0.0197	0.168
S2975	0	0	0.2303	0.0605	0.0666	0.3925	0	0	0.0017	0.1283	0.1446	0.1669
S2977	0	0	0.2916	0.0552	0.015	0.895	0	0	0.0262	0.0086	0.0429	0.1775
S2987	0.0528	0	0.3312	0.1081	0.0059	0.437	0.0188	0.0478	0	0.0848	0.053	0.1411
S2989	0	0	0.2709	0.011	0.0126	0.7038	0	0.0194	0.0204	0.0417	0.1364	0.1573
S299	0.0451	0	0.3235	0.0738	0.0334	0.5855	0	0.0407	0	0.0538	0	0.1429
S2996	0.0427	0	0.3193	0.0949	0.0083	0.3689	0	0.0202	0	0.0744	0.121	0.1485
S3012	0.1286	0	0.2574	0.0393	0.0263	0.2625	0	0.0206	0.0024	0.1482	0.0878	0.1551
S3022	0.0702	0	0.2661	0.0884	0.0101	0.3101	0	0.0303	0.0055	0.1104	0.123	0.1406
S3023	0.0149	0	0.2869	0.0752	0	0.4878	0	0.0859	0.0207	0.1022	0.1455	0.13
S3033	0.0383	0	0.2167	0.0569	0.0421	0.5235	0	0.0175	0.0068	0.1061	0.0804	0.1535
S3039	0.0719	0	0.2844	0.0209	0.023	0.5212	0	0.0377	0.0122	0.1027	0.0894	0.1539
S3043	0.0644	0	0.1941	0	0.0342	0.5945	0	0	0.002	0.0891	0	0.1477
S3048	0.1074	0	0.3156	0.093	0.0145	0.3982	0	0.0193	0	0.1048	0.0144	0.1496
S3056	0.16	0	0.3501	0.1328	0.0246	0.3308	0	0.0269	0.018	0.1037	0.0857	0.1574
S306	0.0987	0	0.2488	0	0.032	0.6106	0	0.0237	0.0173	0.0719	0.0275	0.1685
S3067	0.1216	0.0028	0.3162	0.0442	0.0524	0.4216	0	0.0231	0.0195	0.108	0.0859	0.1189
S3079	0.437	0	0.3188	0.1146	0.0285	0.1446	0	0.049	0.0341	0.0274	0.072	0.1107
S3083	0.1094	0	0.3735	0.0748	0	0.3649	0	0.0279	0	0.0668	0.0517	0.1747
S3097	0.0437	0	0.3009	0.1236	0.0451	0.2179	0	0.035	0	0.1362	0.1634	0.1539
S3103	0.0668	0	0.31	0.017	0.0282	0.3709	0	0.0469	0.0079	0.0938	0.0727	0.1459
S3119	0.0281	0	0.2173	0.0202	0.0198	0.6317	0	0.0151	0.0144	0.059	0.0921	0.1598
S3121	0.1555	0	0.2111	0.0358	0.0092	0.3007	0	0.0422	0.009	0.1426	0.066	0.1581
S3125	0	0	0.0961	0	0.0491	0.4251	0	0.0501	0	0.2103	0	0.1642
S3126	0.145	0.0554	0.3115	0.1036	0.1072	0.2318	0	0.0191	0.0174	0.1079	0.2131	0.1657
S3127	0.0619	0	0.3719	0.0912	0	0.6012	0	0.0214	0.0026	0	0.0493	0.1239
S3140	0.1091	0	0.3183	0.0654	0.0402	0.4526	0	0.0233	0	0.0971	0.0607	0.1468
S3145	0	0	0.2638	0.0629	0	0.7584	0	0.0568	0	0.0876	0	0.1744
S3148	0.1117	0	0.2124	0.0352	0.0388	0.3596	0	0.0478	0	0.0983	0.1381	0.1311
S3153	0	0	0.3375	0.0527	0.0034	0.611	0	0.0521	0	0.0433	0.0439	0.1334
S3158	0.1181	0	0.3307	0.0527	9.00E-04	0.4318	0	0.0361	0.0058	0.0591	0.1024	0.1423
S3164	0	0	0.2398	0	0.0687	0.7748	0	0.0303	0.0102	0.0614	0.0284	0.1803
S317	0	0.0588	0.2526	0.0682	0.0961	0.6772	0	0	0.0053	0	0.0183	0.1596
S3176	0.1446	0.0099	0.373	0.096	0.107	0.2264	0	0.0263	0.0389	0.1371	0.1872	0.1438
S3180	0.1127	0	0.3207	0.0552	0.0513	0.3648	0	0.0344	0.0134	0.1019	0.1005	0.135
S3186	0	0	0.2255	0.0038	0.0245	0.3939	0	0.0443	0.0107	0.1452	0.0855	0.1799
S319	0.0648	0	0.2806	0.0724	0.008	0.5081	0	0.0576	0.0225	0.1223	0.0997	0.1512
S3193	0	0	0.2552	0.0234	0	0.6562	0	0.0441	0	0.0435	0	0.1828
S3195	0	0	0.241	0.0549	0.061	0.4639	0	0.0519	0.0079	0.1154	0.1223	0.1353
S3197	0.1351	0	0.3022	0.0665	0.0465	0.3186	0	0.0378	0	0.1473	0.1381	0.1411
S320	0.0861	0	0.1831	0.0354	0.0149	0.3797	0	0.0386	0.0012	0.1342	0.0845	0.1599
S3212	0.0332	0	0.2063	0.0071	0.0468	0.5665	0	0.0462	0	0.1235	0.0846	0.186
S3217	0.1505	0	0.2943	0.0598	0.0233	0.435	0	0.0349	0.0143	0.0939	0.0948	0.1585
S3226	0.0616	0	0.3211	0.0897	0.1055	0.3091	0	0.0116	0	0.0191	0.1308	0.0784
S3232	0.0666	0	0.1968	0.0315	0.0483	0.4029	0	0.0184	0.0138	0.1107	0.0993	0.1654
S3237	0	0	0.2388	0.0322	0.0506	0.7145	0	0.0278	0	0.0192	0.0397	0.1287
S3238	0.0683	0	0.3374	0.0877	0.0373	0.3997	0	0.0268	0.0229	0.046	0.1587	0.1312
S3239	0.0027	0.0409	0.1804	0	0.0346	0.6792	0	0	0	0.0586	0	0.1894
S324	0.0997	0	0.2831	0.0734	0.0593	0.3351	0	0.01	0	0.0618	0	0.1474
S3244	0.0731	0	0.3448	0.0677	0	0.3772	0	0.0239	0.0114	0.0859	0.1362	0.1174
S3245	0	0	0.3202	0.0759	0.0512	0.4455	0	6.00E-04	0	0.0345	0.0983	0.1471
S3250	0.1102	0	0.2391	0.0608	0.0489	0.3679	0	0.0264	0.0133	0.1222	0.0859	0.157
S3251	0.3282	0	0.2772	0.0421	0.0055	0.3104	0	0.0137	0.0247	0.0737	0.1345	0.1477
S3253	0.0486	0	0.2785	0.0673	0.0408	0.3702	0	0.0331	0	0.0304	0.1324	0.0984
S3261	0	0	0.1777	0	0.002	0.6073	0	0.0652	0.0163	0.1312	0.0138	0.1695
S3262	0.097	0	0.3825	0.0299	0.0112	0.2871	0	0.0501	0.0035	0.1146	0.0893	0.1795
S3266	0.112	0	0.3531	0.0813	0	0.4514	0	0.0841	0	0.0776	0.21	0.1058
S327	0.0286	0	0.2783	0.0483	0.0311	0.5358	0	0.0364	0.0152	0.1004	0.0936	0.1345
S3272	0.0323	0	0.2518	0.0356	0.0144	0.3989	0	0.0126	0.0202	0.1336	0.1296	0.1578
S3274	0.034	0	0.3646	0.0794	0.0346	0.3446	0	0.0334	0.0246	0.1247	0.1082	0.1432
S3279	0.1537	0	0.3284	0.0937	0.006	0.2593	0	0.0489	0.0067	0.1015	0.122	0.1416
S3282	0.1133	0	0.394	0.0931	0.0188	0.3881	0.0044	0.0646	0	0.0326	0.0784	0.1207
S3295	0.0435	0	0.2965	0	0.035	0.4196	0	0.0227	0.0193	0.0959	0.0908	0.1537
S3299	0.0637	0	0.3554	0.0728	0.0164	0.4153	0	0.0514	0	0.0961	0.0938	0.129
S3311	0.043	0.0893	0.0292	0	0.0479	0.4513	0	0.0921	0.0024	0.2077	0	0.1879
S332	0.0415	0	0.3915	0.118	0	0.6075	0	0.0369	0.0015	0.0084	0.0241	0.1453
S3321	0.1074	0.0939	0.3019	0.0791	0.0461	0.4388	0	0	0.003	0.0502	0.0741	0.1459
S3328	0.0273	0	0.3393	0.0686	0.0159	0.4444	0	0.0397	0.0174	0.0513	0.0185	0.1337
S3334	0.1222	0	0.3008	0.0255	0.0651	0.3278	0	0.0387	0.0121	0.1149	0.0978	0.1577
S3343	0.114	0	0.3085	0.0797	0	0.5595	0	0.0465	0	0.0436	0.0345	0.1357
S3346	0.0112	0	0.317	0.1063	0.0388	0.4574	0	0.0148	0	0.0162	0.0913	0.1465
S3350	0.0448	0	0.2185	0.0289	0.0354	0.4208	0	0.0201	0.0098	0.1228	0.1237	0.1575
S3356	0.0427	0	0.2112	0	0.0507	0.5611	0	0.0506	0.0068	0.1187	0.0507	0.1613
S3359	0.0146	0	0.309	0.0371	0.062	0.3349	0	0.0273	0.0043	0.1296	0.1685	0.1244
S3360	0.1197	0	0.2496	0.0112	0.0312	0.4544	0	0.0286	0	0.1194	0	0.1743
S3364	0.0517	0	0.3471	0.0606	0.045	0.7079	0	0.013	8.00E-04	0.0081	0.0083	0.1683
S337	0.1036	0	0.2632	0.0775	0.0215	0.4661	0	0.0237	0.0171	0.0855	0.0117	0.1574
S3373	0.0691	0	0.2598	0.0545	0.0589	0.3146	0	0.0113	0.0114	0.137	0.1092	0.1756
S3376	0.225	0	0.2878	0.0769	0.0623	0.2275	0	0.017	0.0234	0.1636	0.0948	0.1589
S3380	0.1096	0.0252	0.2195	0.0679	0.0497	0.3923	0	0.0389	0.0071	0.1215	0.0994	0.1526
S3387	0.0967	0	0.2351	0.0522	0.0682	0.431	0	0.0072	0.0087	0.1468	0.1331	0.1608
S3390	0.1139	0	0.296	0.0725	0.0283	0.3931	0	0.011	0.0222	0.0981	0.0263	0.1676
S3392	0	0	0.2276	0.023	0.0257	0.444	0	0	0.0101	0.1655	0.0399	0.1447
S3397	0.0453	0	0.3134	0.058	0.0462	0.4757	0	0.0351	0	0.0675	0	0.1972
S3400	0.1114	0	0.2833	0.07	0	0.3779	0	0.0226	0	0.0762	0.045	0.1396
S3410	0.0881	0.0248	0.2004	0.0505	0.0634	0.4809	0	0.0217	0.0058	0.1307	0.0801	0.1606
S3417	0.0044	0	0.2429	0.0301	0.0596	0.4729	0	0.0354	0.005	0.094	0.0429	0.1821
S3421	0	0	0.2932	0.0485	0.0549	0.6369	0	0.0057	0.0056	0.0412	0.0135	0.1821
S3425	0.0282	0	0.3614	0.0642	0.0496	0.4574	0	0.0239	0.0105	0.0258	0.0838	0.1166
S3426	0.1099	0	0.2928	0.0553	0.0098	0.5372	0	0.0385	3.00E-04	0.1084	0.0433	0.1766
S3435	0.1037	0.0527	0.2598	0.0466	0.0364	0.4965	0	0.0399	0.0236	0.0902	0.0575	0.149
S3448	0.1563	0	0.3763	0.0946	0.0243	0.2792	0	0.046	0.0012	0.0898	0.1855	0.1243
S3456	0.0291	0	0.1586	0.0447	9.00E-04	0.464	0	0.0453	0.0046	0.0968	0.0867	0.1419
S3466	0.043	0	0.2939	0.0566	0.0955	0.6633	0	0.0381	0	0.0192	0	0.1337
S3467	0.1554	0	0.3607	0.1233	0.0292	0.2527	0	0.0015	0.0013	0.0524	0.1195	0.142
S3473	0.0873	0	0.2946	0.1208	0.0339	0.2744	0	0.0349	0.003	0.0779	0.07	0.1334
S3475	0.1158	0	0.3109	0.0748	0.0349	0.3895	0	0.0292	0.0086	0.0966	0.0416	0.1461
S348	0	0	0.1783	0.0716	0	0.5888	0	0.0665	0.0164	0.1059	0.056	0.167
S3485	0.0417	0	0.3128	0.0719	0.0918	0.5106	0	0	0.0109	0.079	0	0.1192
S3486	0.0722	0	0.2737	0.0558	0.0044	0.5214	0	0.0304	0.0016	0.1036	0.0596	0.1508
S3492	0	0.1875	0.3003	0.0715	0.0759	0.5006	0.0016	0	0	0.0195	0	0.1749
S3496	0	0	0.2843	0.0569	0.0228	0.5301	0	0.0592	0.0041	0.0684	0.1091	0.1463
S35	0.0658	0	0.3466	0.0085	0.0244	0.4301	0	0.051	0.0033	0.1	0.1353	0.1295
S351	0.1086	0	0.2808	0.0782	0.0514	0.4385	0	0.0372	0	0.0833	0	0.1476
S3510	0.0705	0	0.328	0.0597	0.0571	0.4304	0	0.0584	0.0156	0.0726	0.1685	0.1323
S3514	0.0042	0	0.2732	0.0895	0.0413	0.4685	0	0.0618	0	0.117	0.0701	0.1609
S3516	0	0	0.2275	0.015	0.0188	0.7044	0	0.0537	0.0124	0.0794	0.0058	0.1666
S3517	0.0812	0	0.3113	0.0499	0.0116	0.4016	0	0.0281	0	0.093	0.047	0.1461
S3521	0.0398	0	0.1929	0.0238	0.054	0.5898	0	0.0128	0	0.0802	0	0.1444
S3525	0.0126	0.0152	0.2377	0.027	0.0346	0.4243	0	0	0.0231	0.1181	0.0977	0.1614
S3527	0.0762	0	0.268	0.0575	0.0051	0.4508	0	0.0538	0	0.0964	0.0417	0.1574
S3531	0.0403	0	0.2451	0.016	0.0203	0.5838	0	0.0124	0.0101	0.0641	0.0737	0.1766
S3542	0.0306	0	0.3186	0.0632	0.0894	0.5472	0	0.0148	0	0.0529	0.0628	0.1457
S3545	0.0599	0	0.1921	0.0304	0.0371	0.3886	0	0.0431	0.0054	0.1222	0.0884	0.1701
S3547	0.014	0	0.1909	0.0318	0	0.5084	0	0.0607	0.0164	0.1711	0.1188	0.1776
S3548	0.153	0	0.3743	0.0645	0.0229	0.3782	0	0.03	0.015	0.0813	0.0822	0.1202
S3550	0.0512	0	0.2933	0.0673	0.0211	0.5077	0	0.0183	0.007	0.0815	0.1552	0.1469
S3551	0.0504	0	0.3424	0.0747	0.0085	0.4737	0	0.0032	8.00E-04	0.0445	0.0875	0.1593
S3557	0.0953	0	0.3288	0.0961	0	0.3225	0	0.0313	0	0.1171	0.0395	0.1766
S3567	0.0834	0	0.4277	0.1193	0	0.3661	0	0.0387	0.0106	0.0576	0.0985	0.1543
S3569	0.0287	0	0.3257	0.0632	0.0373	0.4344	0	0.0248	0.0058	0.0571	0.0443	0.1626
S3570	0.1166	0	0.322	0.0525	0.0087	0.4489	0	0.0302	0.0098	0.0857	0.0025	0.1909
S3579	0	0	0.2643	0	0.0612	0.487	0	0	0.0182	0.0656	0.1686	0.129
S3587	0.134	0	0.2957	0.1023	0.0153	0.2364	0	0.0449	0	0.1479	0.056	0.1647
S3589	0.0523	0	0.1854	0.0013	0.0282	0.5177	0	0.0164	0.0113	0.1016	0.0282	0.1431
S3592	0.0812	0	0.2807	0.0915	0.026	0.2433	0	0.0343	0.008	0.1552	0.0877	0.1579
S3599	0.0171	0	0.2344	0.0493	0.018	0.3633	0	0.0531	0.0178	0.1552	0.0851	0.1664
S36	0	0	0.1514	0	0.0364	0.9062	0	0.0192	0	0.0121	0	0.1635
S3610	0.0609	0	0.2972	0.0908	0.0474	0.3424	0	0.0487	0.0044	0.0874	0.1738	0.1338
S3620	0.1709	0	0.3342	0.0609	0.0309	0.3416	0	0.0485	5.00E-04	0.1199	0.0293	0.1644
S3630	0.0726	0	0.3343	0.1151	0.0021	0.4772	0	0.0249	0	0.0621	0.0333	0.1643
S3636	0.0579	0	0.2908	0.0497	0.0477	0.4828	0	0.0381	0	0.051	0.0516	0.1618
S3637	0.4851	0	0.2312	0.0097	0	0	0	0.0659	0.0199	0	0.1139	0.0595
S3655	0	0	0.2616	0.0422	0.0374	0.6642	0	0.0255	0	0.0719	0.0631	0.172
S366	0.1004	0	0.3505	0.0454	0.0261	0.3478	0	0.0459	0.0059	0.0971	0.0057	0.1721
S3667	0.1108	0	0.2243	0.0364	0	0.4667	0	0.0422	0.0102	0.1319	0.1165	0.1398
S3668	0	0	0.2887	0.0334	0.0056	0.5159	0	0.0504	0.011	0.0993	0.0568	0.1531
S3694	0.1437	0	0.3805	0.1054	0.024	0.3666	0	0.0353	0.0043	0.0748	0.1842	0.1361
S37	0.1498	0	0.3467	0.0759	0.0183	0.2955	0	0.0427	0.0078	0.1212	0.0411	0.1579
S3701	0.0181	0	0.2287	0.0402	0.0531	0.4937	0	0.0248	1.00E-04	0.0814	0.008	0.1733
S3704	0.0679	0	0.3743	0.0612	0.0241	0.4575	0	0.0442	0	0.0607	0.0229	0.16
S3706	0.1066	0	0.2614	0.0191	0.0507	0.3681	0	0.014	0	0.0822	0.0979	0.1652
S3707	0.0077	0	0.1924	0.0363	0.0139	0.4989	0	0.008	0.0211	0.1255	0.1952	0.1549
S3711	0.1029	0	0.2975	0.059	0.0373	0.3353	0	0.048	0.0171	0.1311	0.1073	0.133
S3713	0.0503	0	0.2284	0.0243	0.0399	0.5736	0	0.0249	0.0114	0.0749	0.0338	0.1687
S3715	0	0	0.2676	0.0328	0.0298	0.4704	0	0.0117	0.0268	0.1295	0.0456	0.1608
S3721	0.0414	0	0.1461	0.0444	0.0291	0.5676	0	0.016	0.0054	0.1327	0.0847	0.1638
S3725	0.0946	0	0.3339	0.0616	0.0633	0.3925	0	0.0139	0.009	0.0745	0.1648	0.1483
S3726	0.0417	0	0.3591	0.0985	0.0225	0.6002	0	0.0209	0	0.0274	0.0379	0.1398
S3727	0.0894	0	0.3508	0.0619	0	0.6239	0	0.0493	0	0.0612	0.0696	0.1496
S3733	0.0341	0	0.3357	0.0431	0.0892	0.4781	0	0	0.0132	0.0328	0.0573	0.1376
S3734	0.1857	0	0.3973	0.1248	0.0263	0.3616	0	0.0198	0.0077	0.0496	0	0.1538
S3736	0	0	0.2356	0.0518	3.00E-04	0.7371	0	0.0613	0.0194	0.0855	0.0171	0.1614
S3752	0.0022	0	0.301	0.1051	0.0159	0.4086	0	0.0358	0.005	0.1115	0.037	0.1495
S3755	0.009	0	0.3804	0.0772	0.0291	0.489	0	0.018	0.0106	0.0411	0.0472	0.1436
S3760	0	0	0.2684	0.0333	0	0.6368	0	0.0259	0	0.0623	0	0.1472
S3762	0.0215	0	0.2583	0	0.0261	0.4133	0	0.015	0.007	0.1334	0.0286	0.1785
S3768	0.0606	0	0.3421	0.0456	0.0512	0.4387	0	0.0969	0.0084	0.0985	0.0692	0.1296
S3779	0	0	0.1601	0	0.0388	0.6002	0	0.0164	0.0016	0.1085	0.0815	0.1598
S3783	0.0174	0	0.2312	0.1083	0.0304	0.6628	0	0.0207	0.0137	0.0665	0.032	0.1644
S3788	0.1219	0	0.3257	0.1058	0.0245	0.4256	0	0.0357	0	0.0672	0.1006	0.1438
S3790	0.0123	0	0.3058	0.0594	0.005	0.3652	0	0.0272	0.0183	0.1138	0.1118	0.1635
S3794	0.0835	0	0.3588	0.0791	0.0356	0.5148	0	0.0175	0.0097	0.0588	0.0726	0.1558
S3796	0.0774	0	0.3805	0.0598	0.026	0.4483	0	0.0387	0.0102	0.0557	0.0844	0.0956
S3798	0.0952	0	0.2761	0.0774	0.0459	0.3464	0	0.055	0.007	0.1263	0.2126	0.1436
S380	0.1397	0	0.3311	0.0957	0.0167	0.4856	0	0.0305	0	0.0501	0.0355	0.1473
S3802	0.0454	0	0.2775	0.0928	0.015	0.512	0	0.0148	0.016	0.0915	0.0312	0.1684
S381	0.1141	0	0.2926	0.0668	0.0124	0.368	0	0.0127	0.0101	0.1038	0.1958	0.1338
S3812	0.0761	0	0.2987	0.054	0.0532	0.4724	0	0.0286	0.0017	0.0662	0	0.1518
S3813	0.1339	0	0.3659	0.055	0.0222	0.1817	0	0.0312	0.0026	0.1215	0	0.1622
S3822	0.0062	0	0.3574	0.0588	0.0271	0.6558	0	0.0165	0.0187	0.0603	0	0.1732
S3826	0.1195	0	0.3694	0.115	0.0304	0.2242	0	0.0753	0	0.1158	0.0629	0.1468
S3827	0	0	0.2228	0.0784	0.0231	0.5871	0	0.0245	0.0046	0.0453	0.0981	0.1588
S3828	0.0731	0	0.2998	0.054	0.0198	0.359	0	0.0221	0.0148	0.0742	0.0237	0.1635
S3834	0.0596	0	0.2973	0.0771	0.027	0.2957	0	0.0254	0.0106	0.1281	0.0694	0.1416
S3838	0.061	0	0.3249	0.107	0.0472	0.3816	0	0.0439	0.0193	0.1148	0.1746	0.1372
S3845	0.1768	0	0.4046	0.1333	0.0372	0.3133	0	0.056	0	0.065	0.0639	0.1475
S3848	0.1265	0	0.3888	0.0903	0.04	0.4466	0	0.0489	0.011	0.0409	0.0667	0.1548
S3850	0.0569	0	0.2823	0.0691	0.0449	0.363	0	0.0135	0.0143	0.1133	0.1308	0.1747
S3855	0.1152	0	0.3101	0.083	0.0312	0.2938	0	0.0408	0.0219	0.093	0.127	0.15
S3858	0	0	0.2399	0	0.0145	0.5721	0	0.0844	0.0034	0.1196	0	0.1737
S3867	0	0	0.1403	0.0228	0.0277	0.8357	0	0.0113	0.0259	0.0772	0.0784	0.1799
S3871	0.0238	0	0.2768	0.0587	0.0364	0.6294	0	0.0332	0.0196	0.0656	0.1164	0.1456
S3879	0.0304	0	0.269	0.1157	0	0.5803	0	0.0157	0	0.046	0.1109	0.1564
