Tool	Reference	SampleName	CellType	Prediction	Answer	Error	SqError
Cibersort	BluePrint-Blood.tsv	L	CD8 T Cell	0.231466098296	0	0.231466098296	0.0535765546604
Cibersort	EPIC-BCIC.tsv	A	B Cells	0.0429981256558	0.194	0.151001874344	0.0228015660555
Cibersort	EPIC-BCIC.tsv	A	Monocytes	0.229868972043	0.194	0.035868972043	0.00128658315542
Cibersort	EPIC-BCIC.tsv	A	NK Cells	0.291461319832	0.194	0.097461319832	0.0094987088634
Cibersort	EPIC-BCIC.tsv	A	Neutrophils	0.00267228035514	0.03	0.0273277196449	0.000746804260988
Cibersort	EPIC-BCIC.tsv	A	CD4 T Cells	0.432999302114	0.194	0.238999302114	0.057120666411
Cibersort	EPIC-BCIC.tsv	A	CD8 T Cell	0.0	0.194	0.194	0.037636
Cibersort	EPIC-BCIC.tsv	B	B Cells	0.0464476121534	0.194	0.147552387847	0.0217717071592
Cibersort	EPIC-BCIC.tsv	B	Monocytes	0.226348328486	0.194	0.032348328486	0.00104641435584
Cibersort	EPIC-BCIC.tsv	B	NK Cells	0.287424443232	0.194	0.093424443232	0.00872812659321
Cibersort	EPIC-BCIC.tsv	B	Neutrophils	0.00392024141106	0.03	0.0260797585889	0.000680153808057
Cibersort	EPIC-BCIC.tsv	B	CD4 T Cells	0.435859374718	0.194	0.241859374718	0.058495957139
Cibersort	EPIC-BCIC.tsv	B	CD8 T Cell	0.0	0.194	0.194	0.037636
Cibersort	EPIC-BCIC.tsv	C	B Cells	0.00953793709208	0.005	0.00453793709208	2.05928730517e-05
Cibersort	EPIC-BCIC.tsv	C	Monocytes	0.0562219207668	0.01	0.0462219207668	0.00213646595937
Cibersort	EPIC-BCIC.tsv	C	NK Cells	0.40509043608	0.051	0.35409043608	0.125380036923
Cibersort	EPIC-BCIC.tsv	C	Neutrophils	0.0	0.004	0.004	1.6e-05
Cibersort	EPIC-BCIC.tsv	C	CD4 T Cells	0.529149706061	0.828	0.298850293939	0.0893114981874
Cibersort	EPIC-BCIC.tsv	C	CD8 T Cell	0.0	0.102	0.102	0.010404
Cibersort	EPIC-BCIC.tsv	D	B Cells	0.017002543359	0.005	0.012002543359	0.000144061047085
Cibersort	EPIC-BCIC.tsv	D	Monocytes	0.0468063183901	0.01	0.0368063183901	0.00135470507343
Cibersort	EPIC-BCIC.tsv	D	NK Cells	0.404407429502	0.051	0.353407429502	0.124896811227
Cibersort	EPIC-BCIC.tsv	D	Neutrophils	0.0	0.004	0.004	1.6e-05
Cibersort	EPIC-BCIC.tsv	D	CD4 T Cells	0.531783708749	0.828	0.296216291251	0.0877440912025
Cibersort	EPIC-BCIC.tsv	D	CD8 T Cell	0.0	0.102	0.102	0.010404
Cibersort	EPIC-BCIC.tsv	E	B Cells	0.0142588076294	0.01	0.0042588076294	1.81374424242e-05
Cibersort	EPIC-BCIC.tsv	E	Monocytes	0.0892687580625	0.026	0.0632687580625	0.00400293574677
Cibersort	EPIC-BCIC.tsv	E	NK Cells	0.433934056359	0.104	0.329934056359	0.108856481546
Cibersort	EPIC-BCIC.tsv	E	Neutrophils	0.0	0.008	0.008	6.4e-05
Cibersort	EPIC-BCIC.tsv	E	CD4 T Cells	0.462538377949	0.005	0.457538377949	0.209341367296
